antecedents,consequents,support,confidence,lift
"PROC_99285, MED_atorvastatin",MED_aspirin,0.038530146271851584,0.8605577689243027,2.4230471384177
"COND_diabetes, MED_aspirin",MED_atorvastatin,0.029611130931145202,0.8877005347593583,2.4180997074154336
"COND_diabetes, MED_metformin, MED_aspirin",MED_atorvastatin,0.029611130931145202,0.8877005347593583,2.4180997074154336
"MED_aspirin, MED_lisinopril",MED_atorvastatin,0.04298965394220478,0.886029411764706,2.4135475618818956
"MED_atorvastatin, DX_D64.9",MED_aspirin,0.03835176596503746,0.8565737051792829,2.4118293275916924
"PROC_87040, MED_atorvastatin",MED_aspirin,0.03621120228326793,0.8565400843881857,2.411734662521431
"MED_aspirin, DX_D64.9",MED_atorvastatin,0.03835176596503746,0.8811475409836067,2.4002493268970353
"COND_diabetes, MED_metformin, MED_atorvastatin",MED_aspirin,0.029611130931145202,0.8512820512820513,2.3969297737253537
"COND_diabetes, MED_atorvastatin",MED_aspirin,0.029611130931145202,0.8512820512820513,2.3969297737253537
"MED_atorvastatin, PROC_71045",MED_aspirin,0.036567962896896185,0.8506224066390041,2.3950724317520122
"PROC_99223, MED_atorvastatin",MED_aspirin,0.035497681056011414,0.8504273504273503,2.394523217727637
"MED_albuterol, MED_atorvastatin",MED_aspirin,0.13467713164466644,0.8502252252252253,2.3939540997552045
"DX_R06.02, MED_aspirin",MED_atorvastatin,0.036924723510524435,0.8771186440677966,2.389274596036962
"MED_albuterol, MED_aspirin",MED_atorvastatin,0.13467713164466644,0.8768873403019746,2.3886445236797225
"MED_atorvastatin, DX_J45.909",MED_aspirin,0.03781662504459508,0.848,2.3876885986941234
"MED_atorvastatin, COND_gerd",MED_aspirin,0.0424545130217624,0.8469750889679716,2.384802786918357
"MED_aspirin, PROC_80053",MED_atorvastatin,0.03870852657866571,0.8749999999999999,2.3835034013605436
"MED_aspirin, PROC_99233",MED_atorvastatin,0.039600428112736355,0.8740157480314962,2.3808222951722873
"DX_Z79.4, MED_atorvastatin",MED_aspirin,0.036924723510524435,0.8448979591836734,2.3789542738240446
"MED_aspirin, PROC_99223",MED_atorvastatin,0.035497681056011414,0.8728070175438596,2.3775297086253047
"MED_atorvastatin, PROC_99233",MED_aspirin,0.039600428112736355,0.8441064638783271,2.3767256838281776
"MED_atorvastatin, DX_I48.91",MED_aspirin,0.03763824473778095,0.844,2.3764259166248114
"PROC_G0008, MED_aspirin",MED_atorvastatin,0.03995718872636461,0.8715953307392996,2.3742290690595302
"MED_atorvastatin, PROC_71046",MED_aspirin,0.0392436674991081,0.8429118773946359,2.3733621218856498
"MED_atorvastatin, MED_lisinopril",MED_aspirin,0.04298965394220478,0.8426573426573427,2.3726454359302176
"MED_atorvastatin, COND_heart_failure",MED_aspirin,0.03888690688547984,0.8416988416988417,2.3699466130405353
"MED_atorvastatin, PROC_93306",MED_aspirin,0.03567606136282554,0.8403361344537815,2.3661096784268705
"MED_aspirin, COND_afib",MED_atorvastatin,0.03888690688547984,0.8685258964143425,2.3658679180266295
"DX_M79.1, MED_atorvastatin",MED_aspirin,0.03728148412415269,0.8393574297188755,2.3633539683596263
"DX_M79.1, MED_aspirin",MED_atorvastatin,0.03728148412415269,0.867219917012448,2.3623104250591758
"COND_asthma, MED_aspirin",MED_atorvastatin,0.039600428112736355,0.8671875,2.3622221209912535
"COND_asthma, MED_albuterol, MED_aspirin",MED_atorvastatin,0.039600428112736355,0.8671875,2.3622221209912535
"PROC_85025, MED_aspirin",MED_atorvastatin,0.03442739921512665,0.8654708520179372,2.3575459652150417
"MED_aspirin, DX_J45.909",MED_atorvastatin,0.03781662504459508,0.8653061224489796,2.357097241228853
"MED_aspirin, PROC_71250",MED_atorvastatin,0.03424901890831252,0.8648648648648648,2.3558952538544373
"MED_aspirin, DX_I48.91",MED_atorvastatin,0.03763824473778095,0.8647540983606558,2.3555935254663924
"MED_albuterol, COND_copd, MED_atorvastatin",MED_aspirin,0.035497681056011414,0.8361344537815125,2.354279130034736
"COND_copd, MED_atorvastatin",MED_aspirin,0.035497681056011414,0.8361344537815125,2.354279130034736
"MED_aspirin, PROC_90471",MED_atorvastatin,0.03407063860149839,0.8642533936651583,2.3542296039294834
"PROC_99285, MED_aspirin",MED_atorvastatin,0.038530146271851584,0.8639999999999999,2.3535393586005826
"MED_aspirin, DX_I25.10",MED_atorvastatin,0.03264359614698537,0.8632075471698113,2.3513807140106713
"PROC_71250, MED_atorvastatin",MED_aspirin,0.03424901890831252,0.8347826086956521,2.350472779682484
"MED_aspirin, DX_K59.0",MED_atorvastatin,0.0392436674991081,0.8627450980392157,2.350121000781265
"DX_Z79.4, MED_aspirin",MED_atorvastatin,0.036924723510524435,0.8624999999999999,2.349453352769679
"DX_N39.0, MED_aspirin",MED_atorvastatin,0.03424901890831252,0.8609865470852017,2.34533070114657
"PROC_87040, MED_aspirin",MED_atorvastatin,0.03621120228326793,0.8601694915254238,2.3431050386256196
"MED_aspirin, PROC_71046",MED_atorvastatin,0.0392436674991081,0.859375,2.340940840621963
"MED_aspirin, COND_gerd",MED_atorvastatin,0.0424545130217624,0.8592057761732852,2.3404798742601733
"MED_aspirin, DX_E03.9",MED_atorvastatin,0.03460577952194078,0.8584070796460178,2.3383042218151484
MED_aspirin,MED_atorvastatin,0.30467356403853013,0.8578603716725263,2.3368149871701567
MED_atorvastatin,MED_aspirin,0.30467356403853013,0.8299319727891156,2.3368149871701567
"DX_E78.5, MED_aspirin",MED_atorvastatin,0.03870852657866571,0.857707509881423,2.3363985910569762
"COND_obesity, MED_albuterol, MED_aspirin",MED_atorvastatin,0.031038173385658223,0.8571428571428571,2.3348604748021655
"MED_atorvastatin, PROC_93000",MED_aspirin,0.03710310381733856,0.8286852589641434,2.333304651809637
"DX_R06.02, MED_atorvastatin",MED_aspirin,0.036924723510524435,0.8279999999999998,2.3313751883475633
"COND_obesity, MED_aspirin",MED_atorvastatin,0.08134141990724224,0.8555347091932457,2.3304798735361203
"MED_aspirin, COND_heart_failure",MED_atorvastatin,0.03888690688547984,0.8549019607843137,2.3287562644105257
"DX_G47.33, MED_aspirin",MED_atorvastatin,0.03888690688547984,0.8549019607843137,2.3287562644105257
"MED_aspirin, PROC_71045",MED_atorvastatin,0.036567962896896185,0.8541666666666667,2.3267533203757695
"COND_afib, MED_atorvastatin",MED_aspirin,0.03888690688547984,0.8257575757575758,2.3250612605208287
"MED_atorvastatin, PROC_80053",MED_aspirin,0.03870852657866571,0.8250950570342205,2.3231958260842993
"MED_aspirin, PROC_93000",MED_atorvastatin,0.03710310381733856,0.8524590163934426,2.3221016743934104
"MED_atorvastatin, COND_ckd",MED_aspirin,0.03478415982875491,0.8227848101265823,2.316690931978714
"PROC_94640, MED_aspirin",MED_atorvastatin,0.038530146271851584,0.8503937007874015,2.316475746654117
